,0
582,9.37000000000009e-09
583,9.37000000000009e-09
584,9.379999999999942e-09
585,9.390000000000007e-09
586,9.390000000000007e-09
587,9.400000000000071e-09
588,9.410000000000135e-09
589,9.410000000000135e-09
590,9.4200000000002e-09
591,9.4200000000002e-09
592,9.430000000000052e-09
593,9.430000000000052e-09
594,9.440000000000116e-09
595,-9.9055e-07
596,1.8899999999999938e-08
597,1.890999999999979e-08
598,1.8920000000000066e-08
599,1.8940000000000195e-08
600,1.8950000000000047e-08
601,1.89599999999999e-08
602,1.8970000000000176e-08
603,1.8980000000000028e-08
604,1.8990000000000304e-08
605,1.9000000000000157e-08
606,1.901000000000001e-08
607,1.9020000000000285e-08
608,1.9030000000000138e-08
609,1.9040000000000414e-08
610,1.9050000000000267e-08
611,1.9059999999999696e-08
612,1.9070000000000395e-08
613,1.9079999999999824e-08
614,1.9079999999999824e-08
615,1.90900000000001e-08
616,1.9099999999999953e-08
617,1.9109999999999805e-08
618,1.912000000000008e-08
619,1.9129999999999934e-08
620,1.914000000000021e-08
621,1.9150000000000062e-08
622,1.9159999999999915e-08
623,1.9159999999999915e-08
624,1.917000000000019e-08
625,1.9180000000000043e-08
626,1.919000000000032e-08
627,1.9200000000000172e-08
628,1.9200000000000172e-08
629,1.9210000000000024e-08
630,1.9219999999999877e-08
631,1.9230000000000153e-08
632,1.9240000000000006e-08
633,1.9240000000000006e-08
634,1.925000000000028e-08
635,1.9260000000000134e-08
636,1.927000000000041e-08
637,1.927000000000041e-08
638,1.9280000000000263e-08
639,1.9290000000000115e-08
640,1.9290000000000115e-08
641,1.9299999999999968e-08
642,1.930999999999982e-08
643,1.9320000000000096e-08
644,1.9320000000000096e-08
645,1.932999999999995e-08
646,1.9340000000000225e-08
647,1.9340000000000225e-08
648,1.9350000000000077e-08
649,-9.806400000000002e-07
650,2.9039999999999895e-08
651,2.9049999999999747e-08
652,2.9060000000000023e-08
653,2.9069999999999876e-08
654,2.9080000000000152e-08
655,2.9090000000000004e-08
656,2.910000000000028e-08
657,2.9110000000000133e-08
658,2.912000000000041e-08
659,2.9129999999999838e-08
660,2.9129999999999838e-08
661,2.913999999999969e-08
662,2.9149999999999967e-08
663,2.915999999999982e-08
664,2.9170000000000095e-08
665,2.9179999999999948e-08
666,2.9190000000000224e-08
667,2.9190000000000224e-08
668,2.9200000000000076e-08
669,2.920999999999993e-08
670,2.9220000000000205e-08
671,2.9230000000000057e-08
672,2.9230000000000057e-08
673,2.9240000000000333e-08
674,2.9250000000000186e-08
675,2.9259999999999615e-08
676,2.9259999999999615e-08
677,2.9270000000000314e-08
678,2.9279999999999743e-08
679,2.929000000000002e-08
680,2.929000000000002e-08
681,2.9299999999999872e-08
682,2.9309999999999724e-08
683,2.9309999999999724e-08
684,-9.706799999999997e-07
685,3.9100000000000185e-08
686,3.911000000000004e-08
687,3.911999999999989e-08
688,3.913000000000059e-08
689,3.914000000000044e-08
690,3.9150000000000294e-08
691,3.916000000000015e-08
692,3.916000000000015e-08
693,3.917e-08
694,3.917999999999985e-08
695,3.919000000000055e-08
696,3.9200000000000404e-08
697,3.9200000000000404e-08
698,3.9210000000000256e-08
699,3.922000000000011e-08
700,3.922999999999996e-08
701,3.924000000000066e-08
702,3.924000000000066e-08
703,3.9250000000000514e-08
704,3.9260000000000366e-08
705,3.927000000000022e-08
706,3.927000000000022e-08
707,3.928000000000092e-08
708,3.929000000000077e-08
709,3.930000000000062e-08
710,-9.607e-07
711,4.91399999999995e-08
712,4.91500000000002e-08
713,4.91500000000002e-08
714,4.9159999999999204e-08
715,4.9169999999999057e-08
716,4.9179999999999756e-08
717,4.918999999999961e-08
718,4.919999999999946e-08
719,4.919999999999946e-08
720,4.9209999999999314e-08
721,4.9219999999999166e-08
722,4.9229999999999866e-08
723,4.9229999999999866e-08
724,4.923999999999972e-08
725,4.924999999999957e-08
726,4.9259999999999423e-08
727,4.9259999999999423e-08
728,4.9269999999999276e-08
729,4.9279999999999975e-08
730,-9.507099999999999e-07
731,5.9149999999999256e-08
732,5.915999999999911e-08
733,5.916999999999896e-08
734,5.917999999999966e-08
735,5.918999999999951e-08
736,5.918999999999951e-08
737,5.9199999999999365e-08
738,5.920999999999922e-08
739,5.921999999999992e-08
740,5.922999999999977e-08
741,5.922999999999977e-08
742,5.923999999999962e-08
